instrument,innovation,forecast_date,origin_index,error_type,error
BTC-USD,student_t,2023-10-11,812,GarchFitError,"fit violated GARCH constraints: omega=0.3435010765689707, alpha=0.10994903325652086, beta=0.8900509667434793"
BTC-USD,student_t,2023-10-14,815,GarchFitError,"fit violated GARCH constraints: omega=0.35676643578740597, alpha=0.11216594709200896, beta=0.8878340530210819"
BTC-USD,student_t,2023-10-17,818,GarchFitError,"fit violated GARCH constraints: omega=0.4415371929031181, alpha=0.11761006903310932, beta=0.8823899309669432"
BTC-USD,student_t,2023-10-19,820,GarchFitError,"fit violated GARCH constraints: omega=0.3247876106948199, alpha=0.10138235844118813, beta=0.8986176415588198"
BTC-USD,student_t,2023-10-22,823,GarchFitError,"fit violated GARCH constraints: omega=0.4166080556850995, alpha=0.11511077053617612, beta=0.884889229464243"
BTC-USD,student_t,2023-10-23,824,GarchFitError,"fit violated GARCH constraints: omega=0.39451783020853187, alpha=0.11414306014753668, beta=0.8858569398524634"
BTC-USD,student_t,2023-10-24,825,GarchFitError,"fit violated GARCH constraints: omega=0.5239294230445105, alpha=0.13066280720035522, beta=0.8693371927996447"
BTC-USD,student_t,2023-10-25,826,GarchFitError,"fit violated GARCH constraints: omega=0.5803669741793147, alpha=0.141910928016966, beta=0.858089071983034"
BTC-USD,student_t,2023-10-26,827,GarchFitError,"fit violated GARCH constraints: omega=0.593868056445228, alpha=0.1387038201706878, beta=0.8612961798293122"
BTC-USD,student_t,2023-10-27,828,GarchFitError,"fit violated GARCH constraints: omega=0.6214575017624496, alpha=0.1466107339574984, beta=0.8533892660425016"
BTC-USD,student_t,2023-10-29,830,GarchFitError,"fit violated GARCH constraints: omega=0.5868128967587203, alpha=0.14166790954272812, beta=0.8583320904572719"
BTC-USD,student_t,2023-11-17,849,GarchFitError,"fit violated GARCH constraints: omega=6.1955591604232945, alpha=0.8883211650920565, beta=0.11167883490794359"
BTC-USD,student_t,2023-11-18,850,GarchFitError,"fit violated GARCH constraints: omega=6.108060881369159, alpha=0.8872189483499477, beta=0.11278105165005223"
BTC-USD,student_t,2023-11-19,851,GarchFitError,"fit violated GARCH constraints: omega=6.140887946280036, alpha=0.913870665095751, beta=0.086129334904249"
BTC-USD,student_t,2023-11-20,852,GarchFitError,"fit violated GARCH constraints: omega=6.293643207655647, alpha=0.9037592797084399, beta=0.09624072029156007"
BTC-USD,student_t,2023-11-21,853,GarchFitError,"fit violated GARCH constraints: omega=6.125639939504845, alpha=0.8875277919032789, beta=0.11247220809672114"
BTC-USD,student_t,2023-11-22,854,GarchFitError,"fit violated GARCH constraints: omega=6.031422219684535, alpha=0.8956296379531463, beta=0.10437036204685367"
BTC-USD,student_t,2023-11-23,855,GarchFitError,"fit violated GARCH constraints: omega=6.042373507984132, alpha=0.9030828660691133, beta=0.09691713393088672"
BTC-USD,student_t,2023-11-27,859,GarchFitError,"fit violated GARCH constraints: omega=6.873765515909142, alpha=0.8953214888714578, beta=0.10467851112854229"
BTC-USD,student_t,2023-11-28,860,GarchFitError,"fit violated GARCH constraints: omega=6.718927783669479, alpha=0.8912435276164001, beta=0.10875647238359998"
BTC-USD,student_t,2023-11-29,861,GarchFitError,"fit violated GARCH constraints: omega=6.612908804041934, alpha=0.8885064593728563, beta=0.1114935406271437"
BTC-USD,student_t,2023-11-30,862,GarchFitError,"fit violated GARCH constraints: omega=6.506068170639525, alpha=0.89623379349734, beta=0.10376620650266002"
BTC-USD,student_t,2023-12-01,863,GarchFitError,"fit violated GARCH constraints: omega=6.396713867252925, alpha=0.8762898383118649, beta=0.12371016168813516"
BTC-USD,student_t,2023-12-02,864,GarchFitError,"fit violated GARCH constraints: omega=6.6007605970394385, alpha=0.8664015721507669, beta=0.13359842784923326"
BTC-USD,student_t,2023-12-06,868,GarchFitError,"fit violated GARCH constraints: omega=6.195256870100326, alpha=0.8673199282721764, beta=0.13268007172782353"
BTC-USD,student_t,2024-03-20,973,GarchFitError,"fit violated GARCH constraints: omega=6.8325573025708755, alpha=0.924298227995918, beta=0.0757017720040821"
BTC-USD,student_t,2024-03-21,974,GarchFitError,"fit violated GARCH constraints: omega=6.385121536092847, alpha=0.9169610778803367, beta=0.0830389221196634"
BTC-USD,student_t,2024-04-04,988,GarchFitError,"fit violated GARCH constraints: omega=0.19651750436803442, alpha=0.07943543778583577, beta=0.9205645622141643"
BTC-USD,student_t,2024-04-05,989,GarchFitError,"fit violated GARCH constraints: omega=0.1818138010241404, alpha=0.07450360668399222, beta=0.9254963933160079"
BTC-USD,student_t,2024-04-06,990,GarchFitError,"fit violated GARCH constraints: omega=0.24349306260347656, alpha=0.08562205583316367, beta=0.9143779441668364"
BTC-USD,student_t,2024-04-07,991,GarchFitError,"fit violated GARCH constraints: omega=0.5048459053414269, alpha=0.13035533499758886, beta=0.8696446650024111"
BTC-USD,student_t,2024-04-09,993,GarchFitError,"fit violated GARCH constraints: omega=0.36254837850978666, alpha=0.1087397109923674, beta=0.8912602890076328"
BTC-USD,student_t,2024-04-10,994,GarchFitError,"fit violated GARCH constraints: omega=0.17193034135007973, alpha=0.07096989963047, beta=0.9290301003695334"
